,標題,版主,日期,時間,觀看數,留言
0,【募集】 板務建議區 / 「精華文」推薦 / 「進板圖」招募,jorial,08/17,19:57,47k,53
1,【情報】遊戲內、粉絲團當前活動簡易整理_10/21更新,david199444,09/27,20:02,5896,13
2,【情報】舉辦大賽「闇影詩章學院盃」公告,Aa33163133,10/08,20:14,967,2
3,【情報】10/5卡片能力變更,kingloha,10/06,18:03,15k,105
4,【情報】第26彈卡包《示天龍劍》情報公開,john6528637,09/26,12:08,128k,80
5,【討論】問，都可以問，新手敢提問，我就會解答,kasim3128,今日,01:08,2041k,5847
6,【討論】一人想一張新卡牌,tetsuya01025,今日,00:54,1004k,3311
7,【閒聊】迷因詩章，一起來分享迷因吧,qwe50188,今日,00:46,286k,269
8,【討論】《示天龍劍》龍族職業相關討論串,baronlin,昨日,23:12,7491,11
9,【問題】轉蛋妖出bug?,arthur201010,昨日,22:49,148,5
10,【閒聊】シャドウバースF（フレイム）第二十九話 討論區,ufolove,昨日,19:42,963,5
11,【心得】闇影詩章動畫第一季主角王牌到底想給觀眾怎麼樣的一個體驗?,skythfeather,昨日,09:32,5722,39
12,【密技】私人對戰解2000金集中串,Megumin,10/21,16:23,5952k,206k
13,【其他】大賽［闇影詩章學院盃］A組分享串,joy89121200,10/20,23:33,6176,45
14,【問題】闇影詩章 霸者之戰數位版沒有特典,lopuilun1994,10/20,11:07,1332,11
15,【討論】《示天龍劍》吸血鬼職業相關討論串,kenchen5219,10/18,18:48,4357,8
16,【閒聊】有趣的對決場景分享,kirby0428,10/18,17:32,950k,2264
17,【討論】《示天龍劍》主教職業相關討論串,t2378865,10/18,03:04,10k,15
18,【討論】［劇透］闇影詩章F第28話登場的新卡,Marcokiller,10/17,00:08,1936,8
19,【Cos】元素大魔法師・亞連,hayashitn,10/16,17:06,2480,10
20,【問題】請問回歸玩家該如何動作？,s12345010,10/15,14:57,2361,22
21,【問題】會有人屯傳說卡包嗎?,kkoo3123,10/15,00:38,3148,14
22,【討論】《示天龍劍》復仇者職業相關討論串,den0012418,10/13,10:06,7107,10
23,【心得】智障鬼GM,andrewandrew,10/12,00:34,4963,19
24,【討論】《示天龍劍》精靈職業相關討論串,ufolove,10/10,22:12,5034,8
25,【心得】萬金油武裝千金!  小牙千金皇,st970715,10/10,17:45,4858,36
26,【問題】棋盤巫這樣組行嗎?,asdv45679,10/10,13:49,5145,15
27,【問題】綠寶石的暫用卡  可以用多久?,asdv45679,10/10,10:43,2866,9
28,【問題】請問超級遼雅要如何過關,HiM10311579,10/09,11:05,11k,56
29,【討論】《示天龍劍》皇家護衛職業相關討論串,aaron4090185,10/08,14:33,10k,13
30,【心得】［劇透］動畫27集，紳士的游戏内未登場新卡,GETYOU0707,10/08,14:25,2589,11
31,［關台］今天我們來打牌～,z780729,10/07,08:52,6561,31
32,【問題】補牌張數請益?,allenqazws,10/06,22:29,3167,27
33,【情報】9/1登場 吉伊卡哇合作,asd8534140,10/06,21:37,20k,55
34,【討論】改版後關於武裝龍體系的小觀察,e08310831,10/06,19:19,5057,34
35,【討論】《示天龍劍》死靈法師職業相關討論串,scott910706,10/06,10:42,5761,5
36,【問題】關於轉蛋妖,orange927,10/06,09:54,2848,18
37,【閒聊】Shadowverse Online 人物介紹,x38x38x,10/06,02:02,5558,41
38,【心得】SV版「窩不知道」系列回覆用圖,poinddt,10/05,21:19,9556,18
39,【短漫】 主線-幸福的安寐京治,Aa28412230,10/05,10:49,5376,21
40,【問題】舉手發問/烏拉諾斯&聖體傷害計算順序,Loiterers,10/04,22:12,2018,9
41,【問題】steam版帳號相關問題 (急,A0935861377,10/04,17:09,2875,9
